datetime,open,high,low,close,tick_volume,spread,real_volume
2024-04-25 15:30:00,125895.0,126000.0,125835.0,125905.0,160256,5,625825
2024-04-25 16:00:00,125900.0,126165.0,125815.0,126090.0,197120,5,785698
2024-04-25 16:30:00,126090.0,126110.0,125845.0,125975.0,158014,5,603128
2024-04-25 17:00:00,125970.0,126125.0,125865.0,125885.0,150575,5,613707
2024-04-25 17:30:00,125885.0,125950.0,125815.0,125885.0,64283,5,233733
2024-04-25 18:00:00,125885.0,125975.0,125870.0,125890.0,35292,5,85258
2024-04-26 09:00:00,126750.0,127170.0,126250.0,126340.0,404244,5,1145651
2024-04-26 09:30:00,126340.0,127005.0,126335.0,126990.0,545229,5,1731722
2024-04-26 10:00:00,126990.0,127235.0,126730.0,127160.0,493118,5,1594986
2024-04-26 10:30:00,127155.0,127920.0,127115.0,127710.0,491826,5,1768284
2024-04-26 11:00:00,127705.0,127865.0,127540.0,127655.0,291814,5,1123673
2024-04-26 11:30:00,127660.0,127805.0,127595.0,127720.0,226920,5,825173
2024-04-26 12:00:00,127725.0,127855.0,127615.0,127850.0,180018,5,665825
2024-04-26 12:30:00,127850.0,128010.0,127765.0,127970.0,157023,5,588140
2024-04-26 13:00:00,127970.0,128050.0,127850.0,128045.0,133999,5,507868
2024-04-26 13:30:00,128040.0,128110.0,127935.0,127955.0,149006,5,587629
2024-04-26 14:00:00,127955.0,127980.0,127815.0,127880.0,141018,5,545083
2024-04-26 14:30:00,127880.0,128105.0,127880.0,128015.0,131429,5,527394
2024-04-26 15:00:00,128015.0,128210.0,127965.0,128120.0,154168,5,660918
2024-04-26 15:30:00,128125.0,128250.0,128095.0,128175.0,120075,5,492123
2024-04-26 16:00:00,128175.0,128240.0,128050.0,128065.0,124075,5,484296
2024-04-26 16:30:00,128065.0,128070.0,127850.0,127875.0,132469,5,571811
2024-04-26 17:00:00,127875.0,127980.0,127785.0,127840.0,92750,5,424497
2024-04-26 17:30:00,127840.0,127965.0,127825.0,127940.0,50395,5,208190
2024-04-26 18:00:00,127945.0,128185.0,127880.0,128000.0,73027,5,193803
2024-04-29 09:00:00,127990.0,128135.0,127720.0,127870.0,340115,5,1066118
2024-04-29 09:30:00,127870.0,128045.0,127815.0,127865.0,250851,5,855882
2024-04-29 10:00:00,127865.0,128150.0,127845.0,127950.0,415578,5,1487454
2024-04-29 10:30:00,127945.0,128370.0,127870.0,128220.0,500317,5,1833157
2024-04-29 11:00:00,128220.0,128335.0,128025.0,128255.0,351140,5,1254092
2024-04-29 11:30:00,128250.0,128405.0,128080.0,128325.0,311848,5,1174250
2024-04-29 12:00:00,128330.0,128465.0,128215.0,128290.0,233896,5,861640
2024-04-29 12:30:00,128290.0,128310.0,128050.0,128145.0,224674,5,812231
2024-04-29 13:00:00,128140.0,128340.0,128090.0,128340.0,166189,5,605551
2024-04-29 13:30:00,128340.0,128485.0,128290.0,128470.0,176794,5,630463
2024-04-29 14:00:00,128470.0,128570.0,128440.0,128540.0,163533,5,608466
2024-04-29 14:30:00,128535.0,128590.0,128485.0,128545.0,117646,5,434222
2024-04-29 15:00:00,128545.0,128690.0,128490.0,128625.0,168405,5,661501
2024-04-29 15:30:00,128620.0,128645.0,128370.0,128535.0,235066,5,909654
2024-04-29 16:00:00,128535.0,128565.0,128260.0,128495.0,311700,5,1151202
2024-04-29 16:30:00,128495.0,128615.0,128465.0,128565.0,159061,5,576188
2024-04-29 17:00:00,128565.0,128730.0,128540.0,128610.0,123998,5,519820
2024-04-29 17:30:00,128615.0,128680.0,128550.0,128635.0,65456,5,226867
2024-04-29 18:00:00,128640.0,128775.0,128620.0,128690.0,49881,5,116732
2024-04-30 09:00:00,128320.0,128620.0,128195.0,128435.0,345105,5,1144017
2024-04-30 09:30:00,128435.0,128440.0,127980.0,128255.0,423854,5,1483816
2024-04-30 10:00:00,128250.0,128375.0,127955.0,127985.0,452286,5,1748250
2024-04-30 10:30:00,127985.0,128185.0,127815.0,127865.0,481291,5,1769963
2024-04-30 11:00:00,127860.0,128010.0,127650.0,127655.0,407836,5,1520450
2024-04-30 11:30:00,127655.0,127730.0,127430.0,127455.0,271224,5,1026004
2024-04-30 12:00:00,127460.0,127550.0,127260.0,127335.0,232593,5,892045
2024-04-30 12:30:00,127340.0,127370.0,127155.0,127285.0,184651,5,710210
2024-04-30 13:00:00,127290.0,127390.0,127170.0,127360.0,154652,5,574216
2024-04-30 13:30:00,127360.0,127360.0,127115.0,127155.0,181486,5,684217
2024-04-30 14:00:00,127160.0,127335.0,127150.0,127280.0,157939,5,598586
2024-04-30 14:30:00,127280.0,127410.0,127225.0,127390.0,170861,5,672183
2024-04-30 15:00:00,127395.0,127445.0,127275.0,127285.0,154226,5,597720
2024-04-30 15:30:00,127285.0,127485.0,127225.0,127280.0,187289,5,720608
2024-04-30 16:00:00,127275.0,127350.0,127200.0,127260.0,148658,5,586754
2024-04-30 16:30:00,127265.0,127555.0,127205.0,127365.0,221465,5,903715
2024-04-30 17:00:00,127365.0,127465.0,127250.0,127310.0,175704,5,701010
2024-04-30 17:30:00,127310.0,127475.0,127275.0,127440.0,70802,5,263851
2024-04-30 18:00:00,127445.0,127450.0,127350.0,127350.0,46770,5,115546
2024-05-02 09:00:00,128175.0,128675.0,128100.0,128570.0,350458,5,1085193
2024-05-02 09:30:00,128565.0,128740.0,128515.0,128655.0,202157,5,716569
2024-05-02 10:00:00,128655.0,128835.0,128575.0,128655.0,386571,5,1438731
2024-05-02 10:30:00,128650.0,128730.0,128225.0,128315.0,523796,5,1994250
2024-05-02 11:00:00,128320.0,128340.0,127880.0,128170.0,461404,5,1901301
2024-05-02 11:30:00,128170.0,128435.0,128090.0,128345.0,333108,5,1337079
2024-05-02 12:00:00,128350.0,128410.0,128260.0,128300.0,176479,5,711374
2024-05-02 12:30:00,128300.0,128360.0,128200.0,128280.0,173431,5,653664
2024-05-02 13:00:00,128275.0,128280.0,128050.0,128105.0,184591,5,712413
2024-05-02 13:30:00,128100.0,128515.0,128015.0,128335.0,246273,5,933506
2024-05-02 14:00:00,128335.0,128665.0,128330.0,128540.0,230718,5,893356
2024-05-02 14:30:00,128535.0,128650.0,128435.0,128565.0,157417,5,621836
2024-05-02 15:00:00,128565.0,128630.0,128370.0,128515.0,198738,5,809078
2024-05-02 15:30:00,128520.0,128905.0,128495.0,128905.0,212027,5,892946
2024-05-02 16:00:00,128900.0,129035.0,128760.0,128790.0,217520,5,951941
2024-05-02 16:30:00,128790.0,128790.0,128510.0,128580.0,170242,5,726613
2024-05-02 17:00:00,128580.0,128590.0,128350.0,128380.0,104188,5,482158
2024-05-02 17:30:00,128375.0,128495.0,128350.0,128470.0,82889,5,342057
2024-05-02 18:00:00,128465.0,128490.0,128270.0,128270.0,52261,5,137404
2024-05-03 09:00:00,128450.0,128620.0,127895.0,127935.0,315555,5,1043823
2024-05-03 09:30:00,127895.0,130125.0,127845.0,130060.0,844694,5,2800309
2024-05-03 10:00:00,130055.0,130315.0,129790.0,129930.0,446843,5,1615716
2024-05-03 10:30:00,129930.0,130145.0,129640.0,129705.0,457624,5,1633123
2024-05-03 11:00:00,129705.0,130070.0,129550.0,129700.0,622281,5,2245584
2024-05-03 11:30:00,129705.0,129890.0,129575.0,129815.0,306223,5,1128799
2024-05-03 12:00:00,129820.0,129960.0,129720.0,129775.0,212312,5,810574
2024-05-03 12:30:00,129775.0,129845.0,129705.0,129770.0,139215,5,536644
2024-05-03 13:00:00,129775.0,130020.0,129735.0,129940.0,162388,5,617512
2024-05-03 13:30:00,129940.0,129960.0,129645.0,129645.0,146520,5,550189
2024-05-03 14:00:00,129650.0,129790.0,129570.0,129745.0,168356,5,690114
2024-05-03 14:30:00,129750.0,129930.0,129725.0,129895.0,137406,5,564637
2024-05-03 15:00:00,129895.0,130025.0,129875.0,129935.0,151775,5,620616
2024-05-03 15:30:00,129935.0,129975.0,129855.0,129935.0,112835,5,440087
2024-05-03 16:00:00,129935.0,130015.0,129880.0,129955.0,117172,5,454674
2024-05-03 16:30:00,129955.0,130015.0,129855.0,129930.0,126770,5,535409
2024-05-03 17:00:00,129935.0,130165.0,129875.0,130115.0,127713,5,581211
2024-05-03 17:30:00,130115.0,130155.0,130035.0,130080.0,59596,5,250712
2024-05-03 18:00:00,130080.0,130290.0,130040.0,130175.0,50251,5,178539
2024-05-06 09:00:00,130415.0,130485.0,129550.0,129590.0,393653,5,1222085
2024-05-06 09:30:00,129590.0,129635.0,129515.0,129580.0,165651,5,590205
2024-05-06 10:00:00,129575.0,129870.0,129480.0,129805.0,432067,5,1550029
2024-05-06 10:30:00,129810.0,130330.0,129745.0,130310.0,484733,5,1839559
2024-05-06 11:00:00,130315.0,130410.0,130170.0,130265.0,323903,5,1244315
2024-05-06 11:30:00,130270.0,130450.0,130245.0,130280.0,230011,5,839499
2024-05-06 12:00:00,130280.0,130365.0,130110.0,130140.0,223970,5,862028
2024-05-06 12:30:00,130140.0,130335.0,130110.0,130315.0,150072,5,581214
2024-05-06 13:00:00,130315.0,130340.0,130085.0,130115.0,150027,5,593463
2024-05-06 13:30:00,130115.0,130255.0,130010.0,130035.0,187916,5,752822
2024-05-06 14:00:00,130040.0,130105.0,129750.0,129775.0,230975,5,981955
2024-05-06 14:30:00,129770.0,129900.0,129735.0,129820.0,156172,5,657470
2024-05-06 15:00:00,129820.0,129935.0,129795.0,129910.0,160360,5,674168
2024-05-06 15:30:00,129905.0,129920.0,129775.0,129830.0,137960,5,572359
2024-05-06 16:00:00,129835.0,129845.0,129675.0,129690.0,135034,5,571851
2024-05-06 16:30:00,129685.0,129820.0,129665.0,129800.0,138032,5,583698
2024-05-06 17:00:00,129800.0,129845.0,129675.0,129740.0,86832,5,377693
2024-05-06 17:30:00,129740.0,129910.0,129710.0,129820.0,73801,5,294843
2024-05-06 18:00:00,129825.0,129860.0,129670.0,129670.0,51308,5,133424
2024-05-07 09:00:00,129670.0,130050.0,129600.0,129760.0,395315,5,1316409
2024-05-07 09:30:00,129760.0,130300.0,129710.0,130280.0,306596,5,1122794
2024-05-07 10:00:00,130275.0,130550.0,130240.0,130505.0,408823,5,1569210
2024-05-07 10:30:00,130510.0,130660.0,130315.0,130370.0,479819,5,1833385
2024-05-07 11:00:00,130370.0,130775.0,130260.0,130775.0,346121,5,1382793
2024-05-07 11:30:00,130770.0,130910.0,130635.0,130840.0,287049,5,1167433
